name,1yReturn,3yReturn,5yReturn,Sharp,AdjustedSharp,Sortino,Calmar,AnnualizedReturn,Volatility,MaxDrawdown,MaxDrawdownDuration,TotalDays,StartDate,EndDate
矿业ETF_561330,133.8776%,108.1744%,,1.321,1.2548,1.8154,1.8191,44.8874%,31.3493%,-24.6753%,175,805,2022-10-19,2026-02-24
资源ETF博时_510410,84.8252%,91.8584%,143.0493%,1.3031,1.2196,1.6578,1.691,34.3671%,24.816%,-20.324%,192,2702,2015-01-05,2026-02-24
工业有色ETF万家_560860,129.6875%,91.1%,,1.2562,1.192,1.7343,1.6656,43.183%,32.3089%,-25.9259%,163,717,2023-02-22,2026-02-24
浙商之江凤凰ETF_512190,54.9445%,58.8937%,98.6441%,1.279,1.1718,1.6771,1.456,25.6886%,19.3442%,-17.6437%,156,1567,2019-08-05,2026-02-24
工程机械ETF_560280,44.8434%,,,1.2407,1.162,1.8582,1.6104,33.1561%,25.8159%,-20.5882%,98,563,2023-10-18,2026-02-24
电信ETF易方达_563010,34.5781%,,,1.2091,1.1351,1.9884,1.62,34.5507%,28.0275%,-21.327%,262,620,2023-07-14,2026-02-24
大宗商品ETF_510170,77.4796%,71.0911%,112.8017%,1.2097,1.1262,1.5724,1.545,31.3228%,24.8338%,-20.2731%,192,2702,2015-01-05,2026-02-24
半导体设备ETF_561980,61.7318%,,,1.1508,1.0942,2.1396,1.3311,42.4631%,36.5242%,-31.9013%,218,598,2023-08-21,2026-02-24
TMTETF_512220,56.43%,110.1589%,74.3693%,1.1485,1.083,1.8988,1.5033,38.1827%,31.6526%,-25.4%,258,2702,2015-01-05,2026-02-24
稀土ETF_516780,87.1442%,72.5656%,,1.1394,1.0768,1.893,1.2749,38.9028%,33.1187%,-30.5136%,259,1204,2021-02-26,2026-02-24
中证2000ETF华夏_562660,55.7166%,,,1.1198,1.052,1.4248,1.001,33.988%,30.2955%,-33.9535%,207,582,2023-09-14,2026-02-24
云计算50ETF新华_560660,60.2356%,147.836%,,1.0916,1.0397,1.9426,1.2204,42.714%,39.9792%,-35.0%,265,1065,2021-08-25,2026-02-24
